Count	Time	Value	Diff	Status
0	16/08/2013 16:56:00 CEST	4.119,76	0,00	Real-time index
0	16/08/2013 16:55:45 CEST	4.119,91	0,00	Real-time index
0	16/08/2013 16:55:30 CEST	4.120,18	0,00	Real-time index
0	16/08/2013 16:55:15 CEST	4.120,44	0,00	Real-time index
0	16/08/2013 16:55:00 CEST	4.120,35	0,00	Real-time index
0	16/08/2013 16:54:45 CEST	4.119,69	0,00	Real-time index
0	16/08/2013 16:54:30 CEST	4.119,68	0,00	Real-time index
0	16/08/2013 16:54:15 CEST	4.119,77	0,00	Real-time index
0	16/08/2013 16:54:00 CEST	4.119,03	0,00	Real-time index
0	16/08/2013 16:53:45 CEST	4.119,20	0,00	Real-time index
0	16/08/2013 16:53:30 CEST	4.119,06	0,00	Real-time index
0	16/08/2013 16:53:15 CEST	4.119,37	0,00	Real-time index
0	16/08/2013 16:53:00 CEST	4.119,67	0,00	Real-time index
0	16/08/2013 16:52:45 CEST	4.119,48	0,00	Real-time index
0	16/08/2013 16:52:30 CEST	4.119,70	0,00	Real-time index
0	16/08/2013 16:52:15 CEST	4.120,10	0,00	Real-time index
0	16/08/2013 16:52:00 CEST	4.120,07	0,00	Real-time index
0	16/08/2013 16:51:45 CEST	4.120,04	0,00	Real-time index
0	16/08/2013 16:51:30 CEST	4.119,85	0,00	Real-time index
0	16/08/2013 16:51:15 CEST	4.119,08	0,00	Real-time index
0	16/08/2013 16:51:00 CEST	4.119,00	0,00	Real-time index
0	16/08/2013 16:50:45 CEST	4.118,99	0,00	Real-time index
0	16/08/2013 16:50:30 CEST	4.120,35	0,00	Real-time index
0	16/08/2013 16:50:15 CEST	4.120,56	0,00	Real-time index
0	16/08/2013 16:50:00 CEST	4.120,27	0,00	Real-time index
0	16/08/2013 16:49:45 CEST	4.120,09	0,00	Real-time index
0	16/08/2013 16:49:30 CEST	4.120,27	0,00	Real-time index
0	16/08/2013 16:49:15 CEST	4.119,76	0,00	Real-time index
0	16/08/2013 16:49:00 CEST	4.119,84	0,00	Real-time index
0	16/08/2013 16:48:45 CEST	4.119,02	0,00	Real-time index
0	16/08/2013 16:48:30 CEST	4.118,29	0,00	Real-time index
0	16/08/2013 16:48:15 CEST	4.118,28	0,00	Real-time index
0	16/08/2013 16:48:00 CEST	4.118,99	0,00	Real-time index
0	16/08/2013 16:47:45 CEST	4.117,77	0,00	Real-time index
0	16/08/2013 16:47:30 CEST	4.117,90	0,00	Real-time index
0	16/08/2013 16:47:15 CEST	4.117,86	0,00	Real-time index
0	16/08/2013 16:47:00 CEST	4.117,50	0,00	Real-time index
0	16/08/2013 16:46:45 CEST	4.117,41	0,00	Real-time index
0	16/08/2013 16:46:30 CEST	4.117,44	0,00	Real-time index
0	16/08/2013 16:46:15 CEST	4.117,81	0,00	Real-time index
0	16/08/2013 16:46:00 CEST	4.117,86	0,00	Real-time index
0	16/08/2013 16:45:45 CEST	4.117,34	0,00	Real-time index
0	16/08/2013 16:45:30 CEST	4.116,93	0,00	Real-time index
0	16/08/2013 16:45:15 CEST	4.118,44	0,00	Real-time index
0	16/08/2013 16:45:00 CEST	4.116,56	0,00	Real-time index
0	16/08/2013 16:44:45 CEST	4.116,46	0,00	Real-time index
0	16/08/2013 16:44:30 CEST	4.117,32	0,00	Real-time index
0	16/08/2013 16:44:15 CEST	4.116,28	0,00	Real-time index
0	16/08/2013 16:44:00 CEST	4.114,79	0,00	Real-time index
0	16/08/2013 16:43:45 CEST	4.115,14	0,00	Real-time index
0	16/08/2013 16:43:30 CEST	4.115,61	0,00	Real-time index
0	16/08/2013 16:43:15 CEST	4.116,28	0,00	Real-time index
0	16/08/2013 16:43:00 CEST	4.116,67	0,00	Real-time index
0	16/08/2013 16:42:45 CEST	4.117,72	0,00	Real-time index
0	16/08/2013 16:42:30 CEST	4.118,20	0,00	Real-time index
0	16/08/2013 16:42:15 CEST	4.118,66	0,00	Real-time index
0	16/08/2013 16:41:45 CEST	4.118,76	0,00	Real-time index
0	16/08/2013 16:41:30 CEST	4.119,07	0,00	Real-time index
0	16/08/2013 16:41:15 CEST	4.118,78	0,00	Real-time index
0	16/08/2013 16:41:00 CEST	4.119,64	0,00	Real-time index
0	16/08/2013 16:40:45 CEST	4.119,63	0,00	Real-time index
0	16/08/2013 16:40:30 CEST	4.119,70	0,00	Real-time index
0	16/08/2013 16:40:15 CEST	4.119,77	0,00	Real-time index
0	16/08/2013 16:40:00 CEST	4.119,60	0,00	Real-time index
0	16/08/2013 16:39:45 CEST	4.119,97	0,00	Real-time index
0	16/08/2013 16:39:30 CEST	4.119,75	0,00	Real-time index
0	16/08/2013 16:39:15 CEST	4.119,80	0,00	Real-time index
0	16/08/2013 16:39:00 CEST	4.118,96	0,00	Real-time index
0	16/08/2013 16:38:45 CEST	4.119,20	0,00	Real-time index
0	16/08/2013 16:38:30 CEST	4.119,17	0,00	Real-time index
0	16/08/2013 16:38:15 CEST	4.119,38	0,00	Real-time index
0	16/08/2013 16:38:00 CEST	4.119,78	0,00	Real-time index
0	16/08/2013 16:37:45 CEST	4.119,49	0,00	Real-time index
0	16/08/2013 16:37:30 CEST	4.118,84	0,00	Real-time index
0	16/08/2013 16:37:15 CEST	4.118,34	0,00	Real-time index
0	16/08/2013 16:37:00 CEST	4.118,29	0,00	Real-time index
0	16/08/2013 16:36:45 CEST	4.118,67	0,00	Real-time index
0	16/08/2013 16:36:30 CEST	4.119,53	0,00	Real-time index
0	16/08/2013 16:36:15 CEST	4.120,15	0,00	Real-time index
0	16/08/2013 16:36:00 CEST	4.120,56	0,00	Real-time index
0	16/08/2013 16:35:45 CEST	4.118,34	0,00	Real-time index
0	16/08/2013 16:35:30 CEST	4.118,14	0,00	Real-time index
0	16/08/2013 16:35:15 CEST	4.117,97	0,00	Real-time index
0	16/08/2013 16:35:00 CEST	4.115,63	0,00	Real-time index
0	16/08/2013 16:34:45 CEST	4.115,89	0,00	Real-time index
0	16/08/2013 16:34:30 CEST	4.115,21	0,00	Real-time index
0	16/08/2013 16:34:15 CEST	4.114,84	0,00	Real-time index
